"species","sample_id","term","est","se","lower","upper"
"ACPL","ACPL_122_1","Kmax",1.37151090105027,0.0152219371268678,1.3417153463653,1.40123581779424
"ACPL","ACPL_122_1","slope",52.8554046797519,2.47483324490821,48.0171251275157,57.716916732503
"ACPL","ACPL_122_1","p50",-4.50700621131395,0.0281409341278516,-4.56199500979296,-4.45172189845809
"ACPL","ACPL_122_1","p12",-3.56460960269737,0.0579585062399377,-3.67180261102655,-3.44432748401689
"ACPL","ACPL_122_1","p88",-5.44940281993053,0.0467522926981975,-5.54716500803925,-5.36342547591074
"ACPL","ACPL_122_3","Kmax",0.831756107622092,0.0128760034408525,0.806465404835267,0.856966220027824
"ACPL","ACPL_122_3","slope",77.0896101759528,5.93330820933785,65.4439440494032,88.7499737746998
"ACPL","ACPL_122_3","p50",-4.34235827369549,0.0258506482552322,-4.39275324473136,-4.29183222712897
"ACPL","ACPL_122_3","p12",-3.69621732158061,0.0594637894188782,-3.79982472884109,-3.56633686538027
"ACPL","ACPL_122_3","p88",-4.98849922581038,0.0547548058848372,-5.1088106992976,-4.89328596914539
"ACPL","ACPL_122_4","Kmax",1.19960279124081,0.032411719685278,1.13642516157143,1.26310135474335
"ACPL","ACPL_122_4","slope",61.5710031145253,7.01006774593986,47.8638664694381,75.3731252864488
"ACPL","ACPL_122_4","p50",-4.54449991171291,0.0579942596878543,-4.65728627508421,-4.4304476756401
"ACPL","ACPL_122_4","p12",-3.73550295539234,0.121380109672217,-3.93805618650432,-3.46247585429595
"ACPL","ACPL_122_4","p88",-5.35349686803347,0.104605964132457,-5.59181086660157,-5.18076668114734
"ACPL","ACPL_122_5","Kmax",1.76709730343779,0.0457568710447105,1.67730107068331,1.85656981672106
"ACPL","ACPL_122_5","slope",84.9895243366023,12.9907217625901,59.6321663594489,110.602951753382
"ACPL","ACPL_122_5","p50",-4.57650455835685,0.0530911100698409,-4.68070373888967,-4.4734343563968
"ACPL","ACPL_122_5","p12",-3.99042345593794,0.115391024731597,-4.16914631397147,-3.7159430981175
"ACPL","ACPL_122_5","p88",-5.16258566077577,0.110080963304902,-5.42397467671509,-4.9933447152768
"ACPL","ACPL_238_1","Kmax",1.27921089058246,0.0175856468320296,1.24461694395977,1.31360444711605
"ACPL","ACPL_238_1","slope",69.1396998851878,3.35086871665058,62.5558650310224,75.706620144684
"ACPL","ACPL_238_1","p50",-4.79163434507172,0.0201884769459968,-4.83115183963691,-4.75210872071017
"ACPL","ACPL_238_1","p12",-4.07119797927942,0.0460605695292323,-4.15532483222548,-3.97469361667183
"ACPL","ACPL_238_1","p88",-5.51207071086402,0.0343242086307476,-5.58425389176932,-5.44975834092252
"ACPL","ACPL_238_3","Kmax",1.3600513112553,0.0278842604145877,1.30534919296594,1.41449828153389
"ACPL","ACPL_238_3","slope",77.1564402822809,6.64960095093195,64.1518032162344,90.1868237053496
"ACPL","ACPL_238_3","p50",-4.40273124418664,0.0308414336093173,-4.4630254345973,-4.3422506662923
"ACPL","ACPL_238_3","p12",-3.75714995589729,0.0751700299849894,-3.8876983533588,-3.59317530681075
"ACPL","ACPL_238_3","p88",-5.04831253247598,0.053264742044384,-5.16788026157623,-4.95869460570193
"ACPL","ACPL_238_4","Kmax",1.55327585676632,0.0280957990200636,1.49847095418536,1.608368334874
"ACPL","ACPL_238_4","slope",87.9914039677055,6.47839518164812,75.2667782177668,100.661714214034
"ACPL","ACPL_238_4","p50",-4.85084629821072,0.0232716448408893,-4.89671993313862,-4.80508346866154
"ACPL","ACPL_238_4","p12",-4.2847597048483,0.0531592406828739,-4.37874862910292,-4.16976446157519
"ACPL","ACPL_238_4","p88",-5.41693289157314,0.0434705563667652,-5.51181184228117,-5.34115616922291
"ACPL","ACPL_238_5","Kmax",0.891322783888596,0.027121084439444,0.837773113921748,0.944524851724112
"ACPL","ACPL_238_5","slope",94.8457506717127,12.9172520985126,69.5772480691324,120.236216675408
"ACPL","ACPL_238_5","p50",-4.13188177886095,0.0465673653542468,-4.22313076346841,-4.04097438849865
"ACPL","ACPL_238_5","p12",-3.60670533432351,0.10966544873811,-3.7857439102231,-3.35713070484303
"ACPL","ACPL_238_5","p88",-4.6570582233984,0.0658587372940895,-4.81573184170731,-4.55658590749434
"ACPL","ACPL_370_2","Kmax",1.41353543998942,0.0315629108809209,1.35150034217899,1.47514901383154
"ACPL","ACPL_370_2","slope",90.1276009158929,7.57157213910265,75.2335004430293,104.94481112665
"ACPL","ACPL_370_2","p50",-4.45007644504832,0.0262230666493216,-4.5015437727026,-4.39870631287616
"ACPL","ACPL_370_2","p12",-3.89740718933676,0.0601044279690776,-4.00189520371935,-3.76636416463601
"ACPL","ACPL_370_2","p88",-5.00274570075988,0.0483557090749242,-5.1104209275378,-4.920015163745
"ACPL","ACPL_370_3","Kmax",1.13429372304329,0.0245257916583122,1.08629756331055,1.18236815940261
"ACPL","ACPL_370_3","slope",87.6332792750356,6.68802224916465,74.4899720737733,100.785798472672
"ACPL","ACPL_370_3","p50",-4.41777462999576,0.0258393083331683,-4.46842283021696,-4.36698691069386
"ACPL","ACPL_370_3","p12",-3.84937465079466,0.0574375639360982,-3.95068872153698,-3.72465964903042
"ACPL","ACPL_370_3","p88",-4.98617460919687,0.0445392510922098,-5.08365985232183,-4.90871595059845
"ACPL","ACPL_370_4","Kmax",1.42850066208473,0.0142518808913785,1.4005731441486,1.45634355708681
"ACPL","ACPL_370_4","slope",68.6475796684937,2.37804007640654,63.9873607071204,73.3294987301339
"ACPL","ACPL_370_4","p50",-4.84237142752475,0.015710086907486,-4.87334902540638,-4.81157835246185
"ACPL","ACPL_370_4","p12",-4.11677040331098,0.0343669200168912,-4.18151548112668,-4.04697772748455
"ACPL","ACPL_370_4","p88",-5.56797245173851,0.0242500813893907,-5.61807947050779,-5.52308702373518
"ACPL","ACPL_370_5","Kmax",1.82894354364516,0.0240066978690085,1.78222733816228,1.8761953445878
"ACPL","ACPL_370_5","slope",48.623589432592,2.16220479256063,44.3701787287059,52.8367097821089
"ACPL","ACPL_370_5","p50",-4.37022478328505,0.0226901482825369,-4.41455550281018,-4.32571370360837
"ACPL","ACPL_370_5","p12",-3.34580937713103,0.0593594625682816,-3.45399266688363,-3.22195977063017
"ACPL","ACPL_370_5","p88",-5.39464018943907,0.0415596419492968,-5.4830403810404,-5.31974657290825
"ACPL","ACPL_47_1","Kmax",1.09240297517148,0.0647510308560787,0.965796307633887,1.22008857947074
"ACPL","ACPL_47_1","slope",31.346319480235,3.79620139231408,23.9272189249853,38.7765590145532
"ACPL","ACPL_47_1","p50",-3.18282020471786,0.132278744472066,-3.44144533089616,-2.92182041119394
"ACPL","ACPL_47_1","p12",-1.59377386871459,0.31309859713326,-2.11843047479183,-0.889056019830056
"ACPL","ACPL_47_1","p88",-4.77186654072112,0.144811409154376,-5.11758797102978,-4.55036035780997
"ACPL","ACPL_47_2","Kmax",1.8171463802694,0.0307386886324473,1.75698994331433,1.87722467260577
"ACPL","ACPL_47_2","slope",73.8700924374275,6.15902189812186,61.8266852546318,86.0105576179273
"ACPL","ACPL_47_2","p50",-4.22435154603295,0.0259049701408172,-4.27525265677782,-4.17367227649167
"ACPL","ACPL_47_2","p12",-3.55004950479145,0.0701743758662445,-3.67156968109682,-3.39519189165198
"ACPL","ACPL_47_2","p88",-4.89865358727444,0.0557151232285165,-5.02328069366527,-4.80504562294113
"ACPL","ACPL_47_3","Kmax",1.19395005652674,0.0186431447948901,1.15721848099642,1.23049178570323
"ACPL","ACPL_47_3","slope",91.8327844952216,9.92841939859357,72.2841285042466,111.219609809711
"ACPL","ACPL_47_3","p50",-4.37388397087072,0.0308244393650194,-4.43451083460312,-4.31349430096353
"ACPL","ACPL_47_3","p12",-3.83147687311091,0.0681923578736672,-3.94360878815245,-3.6755289995055
"ACPL","ACPL_47_3","p88",-4.91629106863053,0.0697371834966268,-5.075241487581,-4.80162379137331
"ACPL","ACPL_47_4","Kmax",2.16584881082552,0.296317952150787,1.58402859876485,2.74652424895081
"ACPL","ACPL_47_4","slope",37.8963385461015,6.19164123782465,25.8233240820637,50.0251464278337
"ACPL","ACPL_47_4","p50",-1.92013966187931,0.209961927848386,-2.33104203440308,-1.50855880243201
"ACPL","ACPL_47_4","p12",-0.605744761784683,0.435525986233421,-1.31371439150039,0.387369800090559
"ACPL","ACPL_47_4","p88",-3.23453456197393,0.132293322545938,-3.554154220847,-3.04835307383664
"ACPL","ACPL_47_5","Kmax",1.22828865911574,0.0210495029754925,1.18703456022106,1.26959351538706
"ACPL","ACPL_47_5","slope",88.8284100423646,9.22435822362634,70.802689503882,106.911374932797
"ACPL","ACPL_47_5","p50",-4.55219598828031,0.0358168685607719,-4.62275099895098,-4.48217557144761
"ACPL","ACPL_47_5","p12",-3.99144347572831,0.0730365800747071,-4.11536173075711,-3.82871839224446
"ACPL","ACPL_47_5","p88",-5.11294850083231,0.068150383808201,-5.26572899835314,-4.99860875960867
"ACSA","ACSA_165_1","Kmax",1.37142992788413,0.0282134088233756,1.31603052408066,1.42683948528973
"ACSA","ACSA_165_1","slope",68.9038509390837,6.02630191675545,57.1807042344433,80.7974731545288
"ACSA","ACSA_165_1","p50",-4.52563809027846,0.0357331509247223,-4.59630238528338,-4.45583648247067
"ACSA","ACSA_165_1","p12",-3.80273576423442,0.0812038056115443,-3.94415850517539,-3.62629793348421
"ACSA","ACSA_165_1","p88",-5.24854041632249,0.0667065517461732,-5.39744996919941,-5.13409163190713
"ACSA","ACSA_165_2","Kmax",0.279794428859912,0.00986172503043207,0.260433764645902,0.299013898933132
"ACSA","ACSA_165_2","slope",122.144222707769,23.930678778069,75.7534772136146,169.45586744252
"ACSA","ACSA_165_2","p50",-4.53741798051887,0.0467815121827254,-4.629291626241,-4.4455710248569
"ACSA","ACSA_165_2","p12",-4.1296151961299,0.112136221602791,-4.28821694901012,-3.85377399573623
"ACSA","ACSA_165_2","p88",-4.94522076490785,0.100953313937437,-5.19582746806619,-4.80566295170771
"ACSA","ACSA_165_5","Kmax",0.694860156172992,0.0186738959688201,0.6581226753847,0.731768552132057
"ACSA","ACSA_165_5","slope",116.989563724173,15.2754281539881,87.0946515897606,146.902234664803
"ACSA","ACSA_165_5","p50",-4.0453802287201,0.0429227303256064,-4.12921994397397,-3.96142533043263
"ACSA","ACSA_165_5","p12",-3.61960930923283,0.0799442840771665,-3.75202042643449,-3.4383127588561
"ACSA","ACSA_165_5","p88",-4.47115114820736,0.0669630269814641,-4.62349542011124,-4.36057824463585
"ACSA","ACSA_27_1","Kmax",1.58950453165933,0.0633963106716806,1.46487463651523,1.71389098186389
"ACSA","ACSA_27_1","slope",82.4752710918717,17.778878510645,47.716269067592,117.385733114465
"ACSA","ACSA_27_1","p50",-4.15833309084639,0.0619995931717062,-4.27945045311813,-4.03723778829205
"ACSA","ACSA_27_1","p12",-3.55438534435436,0.223522409474251,-3.79580356450126,-3.07410764205888
"ACSA","ACSA_27_1","p88",-4.76228083733842,0.201897294555355,-5.18951740826624,-4.56382559771691
"ACSA","ACSA_27_2","Kmax",0.538896860144009,0.0193907982201825,0.500605453619026,0.57661862618132
"ACSA","ACSA_27_2","slope",64.8405810482788,10.244365730011,44.6904159431398,84.8459997189784
"ACSA","ACSA_27_2","p50",-3.66544835653783,0.0757548289718804,-3.81426481456989,-3.51700148565921
"ACSA","ACSA_27_2","p12",-2.89724496736451,0.185642876390202,-3.18528268261087,-2.46026990818147
"ACSA","ACSA_27_2","p88",-4.43365174571115,0.119817263221596,-4.72826012842711,-4.26140967705374
"ACSA","ACSA_27_3","Kmax",2.42029886215678,0.067764688468224,2.28707013647193,2.55291028548801
"ACSA","ACSA_27_3","slope",87.1650173947253,12.3142962105854,63.0115744310618,111.073027186572
"ACSA","ACSA_27_3","p50",-4.02928219685947,0.0439797268348321,-4.11528674716276,-3.94310119495738
"ACSA","ACSA_27_3","p12",-3.45782869858633,0.1133206923902,-3.63628327126363,-3.19128396985854
"ACSA","ACSA_27_3","p88",-4.60073569513261,0.0814114826434639,-4.79862125861736,-4.47994047241153
"ACSA","ACSA_286_1","Kmax",1.80819460983391,0.0332766883087522,1.74324906988215,1.87334766982585
"ACSA","ACSA_286_1","slope",103.62827881981,8.73817958902987,86.5844958233813,120.753583073305
"ACSA","ACSA_286_1","p50",-4.15192600262597,0.0213980053902832,-4.19379642488533,-4.10993529893094
"ACSA","ACSA_286_1","p12",-3.67125842149334,0.0519057542946233,-3.76086385221549,-3.55812351696937
"ACSA","ACSA_286_1","p88",-4.63259358375859,0.0413397489886496,-4.72474277706269,-4.5620788740733
"ACSA","ACSA_286_2","Kmax",1.44754215067409,0.0129870645063599,1.42190728477927,1.47291972104998
"ACSA","ACSA_286_2","slope",71.3776538216586,2.98967020887993,65.5309767217047,77.2318967258402
"ACSA","ACSA_286_2","p50",-4.48964987110654,0.0155985406597474,-4.52031314511175,-4.45902672134894
"ACSA","ACSA_286_2","p12",-3.79180185495136,0.0353822464220868,-3.8573096535472,-3.71859446189942
"ACSA","ACSA_286_2","p88",-5.18749788726171,0.0311156322056569,-5.25227600228111,-5.13056723392756
"ACSA","ACSA_286_3","Kmax",0.668035976870388,0.00309169312746144,0.661967679721674,0.674103364220199
"ACSA","ACSA_286_3","slope",146.468422290081,4.84515233762947,136.910353477682,155.977364689
"ACSA","ACSA_286_3","p50",-4.32150092375698,0.00637729186753829,-4.33400436425976,-4.30902041221383
"ACSA","ACSA_286_3","p12",-3.98142247313638,0.0134997578135025,-4.00665787964981,-3.95376787956385
"ACSA","ACSA_286_3","p88",-4.66157937437758,0.012436189198047,-4.68718200418937,-4.63846597982672
"ACSA","ACSA_286_4","Kmax",1.24157185119923,0.0111286787512724,1.21961676307101,1.26336179740647
"ACSA","ACSA_286_4","slope",142.871763706474,10.2461308338844,122.719736279366,162.844089030072
"ACSA","ACSA_286_4","p50",-4.55078108245797,0.015865634283,-4.58165212016194,-4.51963475766006
"ACSA","ACSA_286_4","p12",-4.20214148548632,0.0319864318229063,-4.25914277530447,-4.13286549314134
"ACSA","ACSA_286_4","p88",-4.89942067942963,0.0280537529976997,-4.95963210869106,-4.84963527717194
"ACSA","ACSA_286_5","Kmax",1.37908873213028,0.0220554985625371,1.33589827023064,1.4224795015875
"ACSA","ACSA_286_5","slope",119.718903879187,9.78602207840801,100.59785153023,138.92465580248
"ACSA","ACSA_286_5","p50",-4.24095843701713,0.0194851626885591,-4.27916334253759,-4.2027528982899
"ACSA","ACSA_286_5","p12",-3.82489420235356,0.0430486031838489,-3.89997619347194,-3.73128695662146
"ACSA","ACSA_286_5","p88",-4.6570226716807,0.0367241427580539,-4.73786981980372,-4.59365681155105
"ACSA","ACSA_413_1","Kmax",1.36061581565244,0.0769188111552131,1.20898371695119,1.51150310226379
"ACSA","ACSA_413_1","slope",197.864297030972,67.5082741182204,65.3094150468298,330.264933524123
"ACSA","ACSA_413_1","p50",-2.47858929238654,0.0685851075476869,-2.61228006742769,-2.34315119535354
"ACSA","ACSA_413_1","p12",-2.22684729110241,4.72144677648278,-2.36153766038333,-1.78504167249513
"ACSA","ACSA_413_1","p88",-2.73033129367067,4.72277744211164,-3.28483505186271,-2.52301030768261
"ACSA","ACSA_413_2","Kmax",0.764802124278593,0.00658045502860983,0.751906212065068,0.777680066826186
"ACSA","ACSA_413_2","slope",176.645324499107,10.1621706651171,156.65510897393,196.57848320017
"ACSA","ACSA_413_2","p50",-3.97160658786224,0.0074534779421319,-3.98620185116609,-3.95697707286425
"ACSA","ACSA_413_2","p12",-3.68962485832313,0.0209679663386456,-3.72739024210495,-3.64492592052509
"ACSA","ACSA_413_2","p88",-4.25358831740135,0.014553763627923,-4.28511566132055,-4.22822160322608
"ACSA","ACSA_413_3","Kmax",1.32456113174227,0.0178623253522337,1.28945568058632,1.35972096820797
"ACSA","ACSA_413_3","slope",95.4343302134278,5.46201409530357,84.6253395583611,106.102363915892
"ACSA","ACSA_413_3","p50",-4.26311548562312,0.0173801834574837,-4.29723558853967,-4.22919096699758
"ACSA","ACSA_413_3","p12",-3.74117800247781,0.0381586163398479,-3.81009492065186,-3.66016415066438
"ACSA","ACSA_413_3","p88",-4.78505296876843,0.0313705810341877,-4.85187235926501,-4.72874322868863
"ACSA","ACSA_413_4","Kmax",1.14936000312718,0.0217104368337786,1.10674830880565,1.191716687194
"ACSA","ACSA_413_4","slope",86.659883152064,6.72915102800644,73.515475362092,99.9044038851406
"ACSA","ACSA_413_4","p50",-4.41884480398061,0.0247821300465148,-4.4671671380606,-4.37001261484895
"ACSA","ACSA_413_4","p12",-3.84406034425718,0.0581255276935209,-3.94639194182004,-3.71861209490116
"ACSA","ACSA_413_4","p88",-4.99362926370405,0.0450502294424943,-5.09243484019345,-4.91567775360435
"ACSA","ACSA_413_5","Kmax",1.26876949994057,0.0230674339109935,1.22357696124122,1.31421192868351
"ACSA","ACSA_413_5","slope",114.102026487483,9.18909258845052,96.079829533696,132.166878240941
"ACSA","ACSA_413_5","p50",-4.05829388738325,0.0195552208553722,-4.09669818579265,-4.01994893938701
"ACSA","ACSA_413_5","p12",-3.621748142749,0.0454881915417464,-3.70101540333005,-3.52306420973974
"ACSA","ACSA_413_5","p88",-4.4948396320175,0.0360345708700201,-4.57426568452044,-4.4329460963984
"BEPA","BEPA_155_1","Kmax",1.00293899675432,0.00408919048802846,0.99492520045417,1.01096274776569
"BEPA","BEPA_155_1","slope",292.114710061739,10.6239446288447,271.262720799415,312.908351077355
"BEPA","BEPA_155_1","p50",-2.51082171770175,0.00346795640809215,-2.51763351201899,-2.5040068301538
"BEPA","BEPA_155_1","p12",-2.34030392999182,0.00728855336756917,-2.35379521182399,-2.32522090493073
"BEPA","BEPA_155_1","p88",-2.68133950541168,0.00697510220125862,-2.69568943967387,-2.6683494862595
"BEPA","BEPA_155_2","Kmax",0.0467825166783201,0.000612031690822407,0.0455816708656537,0.0479852783863882
"BEPA","BEPA_155_2","slope",169.278774394313,12.9249194662253,143.954459502051,194.607585025953
"BEPA","BEPA_155_2","p50",-2.52349481434891,0.0129012924774503,-2.54875378960234,-2.4981738557606
"BEPA","BEPA_155_2","p12",-2.22924200979334,0.0278627902732591,-2.27803245360805,-2.16873427898893
"BEPA","BEPA_155_2","p88",-2.81774761890447,0.0248491412021244,-2.87177635842262,-2.77458505605536
"BEPA","BEPA_155_3","Kmax",0.658901343877512,0.00702594013244315,0.645105114242976,0.672686095370227
"BEPA","BEPA_155_3","slope",391.593594097475,38.7874225635129,315.515167861329,467.479072683046
"BEPA","BEPA_155_3","p50",-2.30507991679168,0.00718960701558247,-2.31918166512699,-2.29102751158995
"BEPA","BEPA_155_3","p12",-2.1778797917946,0.0153559326065517,-2.20393180608841,-2.14347531736017
"BEPA","BEPA_155_3","p88",-2.43228004178876,0.0146204092194475,-2.46515882069374,-2.40782752398717
"BEPA","BEPA_155_4","Kmax",1.25779953582555,0.00963070593792075,1.2389231648541,1.2765305272384
"BEPA","BEPA_155_4","slope",371.395364104961,26.5219433870755,319.524237529368,423.271561823468
"BEPA","BEPA_155_4","p50",-2.31481760947094,0.00548549151507552,-2.32558506711983,-2.30407609497247
"BEPA","BEPA_155_4","p12",-2.18069974228297,0.0114819278719057,-2.20106659575116,-2.15607827669516
"BEPA","BEPA_155_4","p88",-2.4489354766589,0.0109411804916668,-2.47246673182771,-2.42977986671413
"BEPA","BEPA_216_3","Kmax",0.431730261157554,0.00981228279570088,0.412403865177146,0.450872035766567
"BEPA","BEPA_216_3","slope",209.658172911412,21.8834946710081,166.426927650855,252.312004023617
"BEPA","BEPA_216_3","p50",-2.46093850408079,0.0136385380262327,-2.48779922298966,-2.43420810084059
"BEPA","BEPA_216_3","p12",-2.2233577151921,0.0316559537235876,-2.27637955357543,-2.15187165878196
"BEPA","BEPA_216_3","p88",-2.69851929296949,0.0269414953075638,-2.75990000996758,-2.65424750858364
"BEPA","BEPA_395_1","Kmax",0.916897965750096,0.028329925299073,0.861054682751275,0.972274566402503
"BEPA","BEPA_395_1","slope",409.658242603034,201.821029946938,13.6115078477026,804.33858189999
"BEPA","BEPA_395_1","p50",-2.24773881406255,0.0411405012231357,-2.32845937844909,-2.16737923926277
"BEPA","BEPA_395_1","p12",-2.12614781713607,672.87675321097,-2.30249928996026,-1.48021830050806
"BEPA","BEPA_395_1","p88",-2.36932981098904,672.877272052731,-2.88880015739602,-2.33236415878813
"BEPA","BEPA_395_2","Kmax",2.52627559737177,0.0485593369739406,2.43089961082992,2.62216868214165
"BEPA","BEPA_395_2","slope",272.302666804331,26.6878829466456,219.699807340837,324.472407508479
"BEPA","BEPA_395_2","p50",-2.06941612572129,0.00947952547050662,-2.08796849672467,-2.05083687445639
"BEPA","BEPA_395_2","p12",-1.88649190135794,0.0239214777643525,-1.92706534883404,-1.8329729774129
"BEPA","BEPA_395_2","p88",-2.25234035008464,0.017518491682654,-2.29275458837327,-2.22357438168012
"BEPA","BEPA_395_3","Kmax",0.772519955723024,0.0107245780368268,0.751467009503702,0.793454928353381
"BEPA","BEPA_395_3","slope",317.157432676202,32.2211926889722,253.74175042864,380.430134884327
"BEPA","BEPA_395_3","p50",-2.34242400425255,0.00912024984114763,-2.36033606395807,-2.32465408196222
"BEPA","BEPA_395_3","p12",-2.18537028586119,0.0197456109391965,-2.21887614150584,-2.14091598204401
"BEPA","BEPA_395_3","p88",-2.49947772264391,0.0182037035668877,-2.54059511900653,-2.46887087552647
"BEPA","BEPA_395_4","Kmax",1.0137710050022,0.0178101781488804,0.978675645195456,1.04864201287914
"BEPA","BEPA_395_4","slope",190.725926825457,16.0496390477569,159.286676630883,222.386526790292
"BEPA","BEPA_395_4","p50",-2.29063960796766,0.0124894089759605,-2.31505867163044,-2.26607830781732
"BEPA","BEPA_395_4","p12",-2.02947556516377,0.0281871389987574,-2.07872328809175,-1.96793152847363
"BEPA","BEPA_395_4","p88",-2.55180365077155,0.0232742489271938,-2.60312281570729,-2.51201054085265
"BEPA","BEPA_395_5","Kmax",2.12685396678941,0.0373601121489908,2.05376388698696,2.19997772878761
"BEPA","BEPA_395_5","slope",449.370945283488,48.5932593838847,354.161477242669,544.528716996001
"BEPA","BEPA_395_5","p50",-2.12912604555066,0.00690061389627335,-2.1427740432338,-2.11568155731566
